IdBordereau,IdBureau,Annee,Date,Heure,RefPaiement,NumEnvoi,IdPays,Poids,Montant,cp,cite,codepays,ville,cpDest,citeDest,paysDest,villeDest,portee,CodeService,type_service,CodeISOPays,type_source,IdBureau_original,est_agence
9004,3011,2023,2023-01-30,1602,C,CP303904768TN,TN,7.54,5.8,3011,SAKIET EDDAIER,TN,SFAX,2010,TUNIS,TN,TUNIS,National,CP,Normal,TN,normal,3011,False
62,2117,2023,2023-02-22,1520,C,CP321679105TN,TN,2.5,4.3,2117,GAFSA,TN,GAFSA,8196,JANDOUBA,TN,JANDOUBA,National,CP,Normal,TN,normal,2117,False
4,2240,2023,2023-01-30,1607,C,CP312727672TN,TN,5.31,5.2,2240,NEFTA,TN,NEFTA,3130,HAFFOUZ,TN,HAFFOUZ,National,CP,Normal,TN,normal,2240,False
45,2212,2023,2023-01-30,1606,C,CP321207145TN,TN,2.923,4.3,2212,TAMEGHZA,TN,TOZEUR,1006,BEB SWIKA,TN,TUNIS,National,CP,Normal,TN,normal,2212,False
9004,1142,2023,2023-01-30,1610,C,CP307879437TN,TN,3.028,4.6,1142,CITE ENNOUZHA 2,TN,BORJ EL AMRI,6000,GABES,TN,GABES,National,CP,Normal,TN,normal,1142,False
46,2212,2023,2023-01-30,1608,C,CP321207131TN,TN,4.233,4.9,2212,TAMEGHZA,TN,TOZEUR,3200,TATTOUINE,TN,TATOUINE,National,CP,Normal,TN,normal,2212,False
47,2212,2023,2023-01-30,1610,C,CP321207128TN,TN,3.419,4.6,2212,LOGEMENT POPULAIRE,TN,TOZEUR,7080,MEN ZEL JMIL,TN,MENZEL JMIL,National,CP,Normal,TN,normal,2212,False
48,2212,2023,2023-01-30,1611,C,CP321207114TN,TN,4.19,4.9,2212,AIN EL KARMA,TN,TOZEUR,6100,SILIANA,TN,SILIANA,National,CP,Normal,TN,normal,2212,False
64,6052,2023,2023-09-18,1140,C,CP321984285TN,TN,5.4,5.2,6052,OUDREF,TN,GABES,3000,SFAX,TN,SFAX,National,CP,Normal,TN,normal,6052,False
12,6052,2023,2023-01-30,1616,C,CP320843750TN,TN,21.6,10.0,6052,OUDREF,TN,GABES,1013,EL MENZAH,TN,TUNIS,National,CP,Normal,TN,normal,6052,False
35,6052,2023,2023-04-12,1031,C,CP320843794TN,TN,2.905,4.3,6052,OUDREF,TN,GABES,2016,TUNIS,TN,TUNIS,National,CP,Normal,TN,normal,6052,False
34,6052,2023,2023-04-11,1015,C,CP320843763TN,TN,6.0,5.2,6052,OUDREF,TN,GABES,2034,TUNIS,TN,TUNIS,National,CP,Normal,TN,normal,6052,False
38,4070,2023,2023-01-30,1617,C,CP317133503TN,SA,5.7,80.0,4070,MSAKEN,TN,SOUSSE,Inconnu,ALLKHOBAR ALRAKKAH,SA,DAMEM,National,CP,Normal,TN,normal,4070,False
47,2130,2023,2023-01-30,1626,C,CP211439822TN,IT,7.56,73.0,2130,CITE ESSAADA 2,TN,GAFSA,12354,ITALIA,IT,ITALIA,National,CP,Normal,TN,normal,2130,False
9,3150,2023,2023-01-30,1621,C,CP318066822TN,FR,3.23,56.0,3150,EL ALA,TN,KAIROUAN,33150,CENON,FR,FRANCE,National,CP,Normal,TN,normal,3150,False
9003,2023,2023,2023-01-30,1632,C,CP315353268TN,IT,7.9,73.0,2023,FATHALLAH,TN,SIDI FATHALLAH,29122,PIACENZA,IT,ITALIA,National,CP,Normal,TN,normal,2023,False
44,1240,2023,2023-01-30,1641,C,CP320418911TN,DZ,2.732,36.0,1240,FER,TN,KASSERINE,0001,ALGER,DZ,ALGER,National,CP,Normal,TN,normal,1240,False
9007,3035,2023,2023-01-30,0822,C,CP312249703TN,DE,25.67,223.0,3035,KERKENNAH,TN,SFAX,26789,LEER,DE,OSTFRIESLAND,National,CP,Normal,TN,normal,3035,False
9010,3035,2023,2023-04-18,0917,C,CP312249663TN,DE,9.46,111.0,3035,KERKENNAH,TN,SFAX,26789,LEER,DE,OSTFRIESLAND,National,CP,Normal,TN,normal,3035,False
6,2052,2023,2023-01-30,1645,C,CP311905805TN,TN,2.377,4.3,2052,EZZOUHOUR 4,TN,INCONNU,3000,INCONNU,TN,INCONNU,National,CP,Normal,TN,normal,2052,False
8,9122,2023,2023-01-30,1648,C,CP320009568TN,TN,6.96,5.5,9122,CEBBALA,TN,CEBBALA,3200,TATAOUINE,TN,TATAOUINE,National,CP,Normal,TN,normal,9122,False
9003,5114,2023,2023-01-30,1645,C,CP316407149TN,QA,6.11,94.0,5114,MELLOULECH,TN,MAHDIA,Inconnu,DOUHA,QA,DOUHA,National,CP,Normal,TN,normal,5114,False
32,1091,2023,2023-01-30,1720,C,CP310170183TN,TN,3.58,4.6,1091,PTT,TN,PTT,PTT,PTT,TN,PTT,National,CP,Normal,TN,normal,1091,False
32,1091,2023,2023-01-30,1720,C,CP310170210TN,TN,3.0,4.3,1091,PTT,TN,PTT,PTT,PTT,TN,PTT,National,CP,Normal,TN,normal,1091,False
32,1091,2023,2023-01-30,1720,C,CP310170206TN,TN,3.62,4.6,1091,PTT,TN,PTT,PTT,PTT,TN,PTT,National,CP,Normal,TN,normal,1091,False
32,1091,2023,2023-01-30,1720,C,CP310170197TN,TN,3.96,4.6,1091,PTT,TN,PTT,PTT,PTT,TN,PTT,National,CP,Normal,TN,normal,1091,False
33,1091,2023,2023-01-30,1724,C,CP310170268TN,TN,3.662,4.6,1091,PTT,TN,PTT,3.662,PTT,TN,PTT,National,CP,Normal,TN,normal,1091,False
33,1091,2023,2023-01-30,1724,C,CP310170271TN,TN,2.247,4.3,1091,PTT,TN,PTT,1000,PTT,TN,PTT,National,CP,Normal,TN,normal,1091,False
34,1091,2023,2023-01-30,1726,C,CP310170170TN,TN,20.0,9.4,PTT,PTT,TN,PTT,4000,PTT,TN,PTT,National,CP,Normal,TN,normal,1091,False
9004,3010,2023,2023-01-30,1818,C,CP313729224TN,TN,2.302,4.3,3010,EL HENCHA,TN,SFAX,3013,SFAX,TN,SFAX,National,CP,Normal,TN,normal,3010,False
9005,3010,2023,2023-01-30,1831,C,CP313729238TN,TN,2.19,4.3,3010,EL HENCHA,TN,SFAX,4130,M,TN,M,National,CP,Normal,TN,normal,3010,False
9008,3089,2023,2023-03-02,1049,C,CP318202117TN,FR,8.78,86.0,3089,SFAX,TN,SFAX,1000,FRANCE,FR,FRANCE,National,CP,Normal,TN,normal,3089,False
39,2090,2023,2023-02-20,1051,C,CP320199147TN,TN,3.8,4.6,2090,MORNAG,TN,BEN AROUS,8100,JENDOUBA,TN,JENDOUBA,National,CP,Normal,TN,normal,2090,False
