id,code_iso_pays,pays_dest,ville_dest,cite_dest,code_postal_dest,portee
98,TN,TN,TBARKA,TBARKA,8110,National
99,TN,TN,KEBELLI,DOUZ,4260,National
100,TN,TN,JERBA,JERBA,4180,National
101,TN,FR,NANTE,NANTE,44300,National
102,TN,CA,CANADA,SLABERY-DE-VALLEYFIELD,j6t2z6,National
103,TN,TN,M,M,4144,National
104,TN,CH,SUISSE,GENEVE,1202,National
105,TN,CH,GENEVE,GENEVE,1202,National
106,TN,QA,DOHA,DOHA,1,National
107,TN,TN,MENZEL BOURGUIBA,AV IBN ROCHD,7050,National
108,TN,OM,SALTANAT OMAN,OMEN,54124,National
109,TN,FR,FR,FR,75100,National
110,TN,MA,MAROC,AGDAL RABAT,6769,National
111,TN,TN,BIZER,BIZERT,7026,National
112,TN,TN,BENZART,BENZART,7000,National
113,TN,TN,KASS,KASS,1200,National
114,TN,TN,GAFSA,GAFSA,2130,National
115,TN,TN,K,K,1200,National
116,TN,TN,J,J,8140,National
117,TN,TN,INCONNU,F,F,National
118,TN,TN,S,S,1270,National
119,TN,TN,T,T,1200,National
120,TN,TN,GH,GH,8160,National
121,TN,TN,KASSERINE,KASSERINE,1280,National
122,TN,TN,LE KEF 94968896,EL KSOUR,7160,National
123,TN,TN,LE KEF,LE KEF,7114,National
124,TN,TN,YN,TN,2027,National
125,TN,TN,ELKEF,ELKEF,7114,National
126,TN,TN,7150,7150,7150,National
127,TN,TN,ALIA,B,7016z,National
128,TN,TN,BEN  ZARAT,BZ,7030,National
129,TN,TN,BEZERT,POSTE,7000,National
130,TN,TN,SLIMENE,SLIMENE,8020,National
131,TN,TN,EL KEF,JERISSA,7114,National
132,TN,TN,TAJEROUINE,POSTE,7150,National
133,TN,TN,8044,8044,elmida,National
134,TN,TN,SIDI DAOUD,IMEME BEN ARFA,2046,National
135,TN,TN,CHEBA,CHEBA,5170,National
136,TN,TN,AKOUDA,AKOUDA,4042,National
137,TN,TN,KSAR HLEL,KSAR HLEL,5016,National
138,TN,TN,MANZEL BOUZALFA,MANZEL BOUZALFA,8010,National
139,TN,TN,MSAKEN,MSAKEN,4070,National
140,TN,TN,KEBELI,KEBELLI,4200,National
141,TN,TN,KEBLI,KEBLI,4200,National
142,TN,TN,KRAM,KRAM,2015,National
143,TN,TN,CHEBBA,CHEBBA,5170,National
144,TN,TN,MANZEL BOUZELFA,NABEUL,8010,National
145,TN,TN,KEBILI,KEBILI,4200,National
146,TN,TN,CHAT MARIEM,AKOUDA,4042,National
147,TN,TN,KSOUR ESSAF,KSOUR ESSAF,5180,National
148,TN,TN,SBITLA,SBITLA,1250,National
149,TN,TN,JEBERI,T,1007,National
150,TN,TN,TABARKA,TABARKA,8110,National
151,TN,TN,TOUZEUR,NAFTA,2240,National
152,TN,TN,B AROUS,B AROUS,2059,National
153,TN,TN,2120,2120,2120,National
154,TN,TN,FOUCHANA,FOUCHANA,2082,National
155,TN,TN,DOUZ,DOUZ,4260,National
156,TN,TN,JEM,JEM,5160,National
157,TN,TN,BIR BAY,BIR BAY,2055,National
158,TN,TN,SIDI ALOUANE,SIDI ALOUANE,5193,National
159,TN,TN,LA CHEBBA,CHEBBA,5170,National
160,TN,TN,ZERMADINE,ZERMADINE,5040,National
161,TN,TN,EL KALAA,EL KALAA,4021,National
162,TN,TN,REDIEF,REDIEF,2120,National
163,TN,TN,EL FAHS,FAHES,1140,National
164,TN,TN,SIDI SHIL,SIDI SHIL,1231,National
165,TN,TN,DEGUECHE,DEGEUCHA,2260,National
166,TN,TN,JEBENIANA,JEBENIANA,3080,National
167,TN,TN,BA,B A,2082,National
168,TN,TN,KELIBIA,KELIBIA,8090,National
169,TN,TN,MEDENINE,MEDENINE,4100,National
170,TN,TN,JAMEL,JAMEL,5020,National
171,TN,TN,ZAGHOUANE,ZAGHOUANE,1160,National
172,TN,TN,SOKRA,SOKRA,2036,National
173,TN,TN,NAFTA,NAFTA,2240,National
174,TN,TN,BAZMA,BAZMA,4224,National
175,TN,TN,BENBLA,BENBLA,5021,National
176,TN,TN,SEBALA,SEBELA,9122,National
177,TN,TN,KOUROIN,MANSOURA,3131,National
178,TN,TN,CHBIKA,CHBIKA,3121,National
179,TN,TN,EL JEM,EL JEM,5160,National
180,TN,TN,SOUK EL AHAD,OUM SOMAA,4212,National
181,TN,TN,2200,2200,2200,National
182,TN,TN,BIZERTE NORD,BIZERTE,7000,National
183,TN,TN,HAMMAM CHAT,HAMAM CHAT BEN AROUS,1164,National
184,TN,TN,MORNAG,MORNAG,2090,National
185,TN,TN,DEGACHE,DEGACHE,2260,National
186,TN,TN,FERIYANA,FERIYANA,1240,National
187,TN,TN,D ALLOUCH,D ALLOUCH,8055,National
188,TN,TN,RAOUED,CITE CHAKER,2081,National
189,TN,TN,KASSRINE,KASRINE,1200,National
190,TN,TN,GAMART,GAMARTH,1057,National
191,TN,TN,KKAIROUAN,KAIROUAN,3129,National
192,TN,TN,BIR ALI,BIR ALI,3040,National
193,TN,TN,DGUECH,TOUZEUR,2260,National
194,TN,TN,BLED EL HADHAR,T,2233,National
195,TN,TN,GOLAA,CITE ZOUHOUR,4234,National
196,TN,TN,JDAYDA,JDAYDA,1124,National
197,TN,TN,7130,7130,7130,National
198,TN,TN,NEFTA,NEFTA,2240,National
199,TN,TN,OUDHREF,OUDHREF,6052,National
200,TN,TN,BRADAA,BRADAA,5115,National
201,TN,TN,JERISSA,JERISSA,7114,National
202,TN,TN,NB,NB,8011,National
203,TN,TN,5000,5000,5000,National
204,TN,TN,SS,SS,4051,National
205,TN,TN,SIDI THABET,SIDI THABET,2020,National
206,TN,TN,KR,KR,3100,National
