id,code_iso_pays,pays_dest,ville_dest,cite_dest,code_postal_dest,portee
265,TN,HK,H,H,10000,National
266,TN,FR,F,FR,93200,National
267,TN,DE,ALL,ALL,66693,National
268,TN,TN,MEGRINE,CITE CHAKER,2024,National
269,TN,CA,MONTREAL,MONTREAL,0.0,National
270,TN,TN,GAS,GASRIN,1200,National
271,TN,TN,SAKIET EDDAIER,EL KHALIJ,3063,National
272,TN,OM,SALTANET OMAN,EL HAMRA,-,National
273,TN,OM,SALTANT OMAN,SALTANT OMAN,617,National
274,TN,TN,HAMMAMET,HAMMAMET,8050,National
275,TN,TN,4083,4083,4083,National
276,TN,CA,INCONNU,INCONNU,Inconnu,National
277,TN,AE,EMIRAT,ECHAREKA,0000,National
278,TN,OM,SALTANAT OMANE,SALTANAT OMANE,133/pc,National
279,TN,TN,ZAGHOUENE,ZAGHOUANE,1115,National
280,TN,TN,9070,9070,9070,National
281,TN,TN,2042,2042,2042,National
282,TN,TN,3000,3000,3000,National
283,TN,TN,2040,2040,2040,National
284,TN,TN,BIR MCHARGA,1141,1141,National
285,TN,TN,4135,4135,4135,National
286,TN,TN,1141,1141,1141,National
287,TN,TN,1236,1236,1236,National
288,TN,TN,4160,4160,4160,National
289,TN,TN,2001,2001,2001,National
290,TN,TN,2123,2123,2123,National
291,TN,TN,9114,9114,9114,National
292,TN,TN,3100,3100,3100,National
293,TN,TN,2013,2013,2013,National
294,TN,TN,2083,2083,2083,National
295,TN,TN,BARDO,BARDO,2000,National
296,TN,TN,2220,2220,2220,National
297,TN,TN,5120,5120,5120,National
298,TN,TN,2110,2110,2110,National
299,TN,TN,7032,7032,7032,National
300,TN,TN,7114,7114,7114,National
301,TN,TN,2034,2034,2034,National
302,TN,TN,4042,4042,4042,National
303,TN,TN,BG,BG,4160,National
304,TN,TN,8160,JENDOUBA,8160,National
305,TN,GB,ROUYAUME UNI,ROUYAUME UNI,CM132UD,National
306,TN,GB,UNITED KINGDOM,UNITED KINGDOM,dl54fe,National
307,TN,GB,ENGLAND,ENGLAND,bs361rw,National
308,TN,GB,UNITED,UNITED KINGDOM,BT623SW,National
309,TN,GB,KINGDOM,UNITED KINGDOM,OL84SH,National
310,TN,FR,FRANE,FRANCE,95130,National
311,TN,BE,BELGIUM,BELGUIM,8500,National
312,TN,GB,RU,RU,sw73dy,National
313,TN,TN,BEN AROUSSE,FOUCHENA,2082,National
314,TN,TN,SOU,SOU,4059,National
315,TN,TN,JER,JERBA,4116,National
316,TN,TN,SF,SF,3081,National
317,TN,TN,JEND,JEND,8160,National
318,TN,TN,MH,MH,5020,National
319,TN,TN,SB,SB,9112,National
320,TN,TN,AR,AR,2036,National
321,TN,TN,MAH,MA,mahÂ²,National
322,TN,TN,SALTNIA,SFAX,3000,National
323,TN,TN,MOK,MOK,5050,National
324,TN,TN,BOURG  EL WAZIRE,POSTE,2073,National
325,TN,TN,BOUSA,POSTE,8170,National
326,TN,TN,1200,1200,1200,National
327,TN,TN,JARZOUNA,JARZOUNA,7021,National
328,TN,TN,REGUEB,SIDI BOUZID,9170,National
329,TN,US,PA,PITTSBURG,15232,National
330,TN,CA,.,ONTARIO,OTTAWA,National
331,TN,DE,AACHEN,AACHEN,52062,National
332,TN,TN,DHEHIBA,TATAOUIN,3253,National
333,TN,TN,MATMATA NOUVELLE,GABES,6044,National
334,TN,TN,ELHAMMA,ELHAMMA,6020,National
335,TN,QA,QUATAR,BUILDING NUMBER 22,13 STREET 960,National
336,TN,ES,ESPAGNE,ESPAGNE,33403,National
337,TN,TN,GROMBALIA,CITE MANDRA,8030,National
338,TN,TN,SOUSE,SOUSSE SAHLOUL,5054,National
339,TN,TN,BOUARADA,BOUARADA,6180,National
340,TN,TN,ZAGHOUAN,ZAGHWEN,1100,National
341,TN,SA,RIADH,RIADH,13213,National
342,TN,TN,ZAGHWAN,ZAGHWAN,1121,National
343,TN,TN,1000,1000,100,National
344,TN,TN,UNIS,4180,4180,National
345,TN,KW,KOWEIT,KOWEIT,Inconnu,National
346,TN,CA,ONTARIO,MISSISSAUGA,Inconnu,National
347,TN,TN,GHRAIBA,GHRAIUBA,3034,National
348,TN,TN,CKHIRA,CKHIRA,3040,National
349,TN,TN,MAHRAS,SFAX MAHRES,3060,National
350,TN,FR,TARBES,RESIDENCE VERDUN,65000,National
351,TN,TN,MAKNASSY,MAKNASSY,9140,National
352,TN,TN,SALINA,SALINA,1020,National
353,TN,DE,DEUTSCHLAND,AACHEN,52074,National
354,TN,AE,DUBAI,EMAU,rb 01 b,National
355,TN,EG,EGYPTE,EGYPTE,00,National
356,TN,TN,NEBEUR,SIDI KHIAR,7131,National
357,TN,AU,AUSTRALIE,VICTORIA,3850,National
358,TN,GB,ROUYAME UNIS,UNITED KINGDEM,g522ba,National
359,TN,GB,R UNIE,R UNIE,ME45BZ,National
360,TN,NL,PAYS BAS,LANDEGRAAF,6374 JG,National
361,TN,TN,4000,SOUSSE,4000,National
362,TN,TN,MORNAGUIA,MORNAGUIA,1110,National
363,TN,TN,MORNEG,MORNEG,2090,National
364,TN,TN,SILIANA,SILIANA,6140,National
365,TN,TN,SILYANA,BOURADA,6180,National
366,TN,TN,MJEZELBEB,ECHAMEKH,9070,National
367,TN,IT,ITALI,FERRARA VIA ARGIMONE,44122,National
368,TN,TN,KEB,KEB,keb,National
369,TN,TN,KAIROUANE,KARIOUANE,3100,National
370,TN,TN,OUED ELLIL,WED ELLIL,2021,National
371,TN,TN,HAMEMT,HAMAMET,8050,National
372,TN,TN,BOUMHAL,BOUMHLA,2026,National
373,TN,TN,TNS,TNS,4010,National
374,TN,TN,GBELLI,GBELLI,4246,National
375,TN,TN,TATAWIN,TATAWIN,3200,National
376,TN,TN,MARSA,MARSA,2076,National
377,TN,TN,B AROUSS,MOUROUJ 4,2074,National
378,TN,AE,EMARAT,EMARAT,14,National
379,TN,TN,B,B,6170,National
380,TN,TN,HAMMAM CHATT,HAMMAM CHATT,1164,National
381,TN,TN,BIR EL BAY,BIR EL BAY,2055,National
382,TN,FR,TOUR,MONT LOUIS SUR LOIRE,37270,National
383,TN,TN,BOUMEL,BOUMEL,2097,National
384,TN,TN,G,G,2121,National
385,TN,TN,R,R,6150,National
386,TN,TN,THALA,THALA,1210,National
387,TN,TN,H,H,8025,National
388,TN,TN,GHARDIMAOU,GHARDIMAOU,8160,National
389,TN,SA,ARABIE SAOUEDI,ARABE SOUDI,1000,National
390,TN,TN,SELIANA,SELIANA,6113,National
391,TN,TN,ELJEM,ELJEM,5137,National
392,TN,TN,TB,TN,2051,National
393,TN,TN,TH,TN,2051Â²,National
394,TN,TN,JAM,POSTE,5137,National
395,TN,FR,PASRIS,SEVEN ILE,93270,National
396,TN,CA,MONREAL,MONREAL,Inconnu,National
397,TN,IT,CESENA,CESENA,47521,National
398,TN,SA,SAOUDITE,SAOUDITE,02335,National
399,TN,TN,EL HAMMA,EL HAMMA,6020,National
400,TN,FR,LILLE,LILLE,59000,National
401,TN,CH,LAUSANNE,CHAVANNES PRES RENENS,1022,National
402,TN,FR,TOULOUSE,LA DAURADE,31000,National
403,TN,TN,MATMATA EL JADIDA,MATMATA EL JADIDA,6024,National
404,TN,FR,SAINT-PIERRE D'OLÃRON,SAINT-PIERRE D'OLÃRON,17310,National
405,TN,CA,QUEBEC CANADA,SAINT GEORGES,2794,National
406,TN,TN,BOU  HAJLA,POSTE,3180,National
407,TN,TN,MSTIR,MSTIR,7150,National
408,TN,AE,CHERGUA,CHERGUA,00000,National
409,TN,AE,EMIRATE,CHARIKA,1000,National
410,TN,GB,GB,LONDON,Inconnu,National
411,TN,TN,KH,K H,5070,National
412,TN,TN,MB,MB,7050,National
413,TN,TN,K H,K H,5070,National
414,TN,TN,5050,5050,5050,National
