bureau_id,gouvernorat,type_bureau,nb_colis,ca_total,poids_moyen,montant_moyen,nb_annees_actif,nb_mois_actif,nb_intl,nb_ems_n,nb_rpp_i,nb_normal,premiere_annee,derniere_annee,taux_intl,taux_ems_n,taux_rpp_i,taux_normal,ca_par_colis,activite,cluster,segment
346,Monastir,Bureau,1425,42399.450000000055,3.8640540350877153,29.75400000000004,4,12,144,507,144,774,2023,2026,0.10105263157894737,0.35578947368421054,0.10105263157894737,0.5431578947368421,29.75400000000004,1.0,2,Bureaux colis normaux
347,Sousse,Bureau,2624,40863.00000000001,0.5718258384146286,15.572789634146345,4,12,464,2033,462,129,2023,2026,0.17682926829268292,0.7747713414634146,0.1760670731707317,0.04916158536585366,15.572789634146345,1.0,0,Bureaux express nationaux standards
348,Kasserine,Bureau,704,5784.699999999987,2.1772393465909086,8.216903409090891,4,12,7,192,7,505,2023,2026,0.009943181818181818,0.2727272727272727,0.009943181818181818,0.7173295454545454,8.216903409090891,1.0,2,Bureaux colis normaux
349,Gafsa,Bureau,1298,14902.899999999983,3.6289160246533125,11.481432973805843,4,12,28,346,25,924,2023,2026,0.02157164869029276,0.2665639445300462,0.01926040061633282,0.711864406779661,11.481432973805843,1.0,2,Bureaux colis normaux
350,Gabès,Bureau,220,4784.2,2.672154545454545,21.746363636363636,4,12,10,83,10,127,2023,2026,0.045454545454545456,0.37727272727272726,0.045454545454545456,0.5772727272727273,21.746363636363636,1.0,2,Bureaux colis normaux
351,Monastir,Bureau,716,6827.799999999999,6.218093575419008,9.536033519553072,4,12,12,314,10,390,2023,2026,0.01675977653631285,0.43854748603351956,0.013966480446927373,0.5446927374301676,9.536033519553072,1.0,2,Bureaux colis normaux
352,Sousse,Bureau,1152,23090.5,0.6805659722222193,20.043836805555557,4,12,193,864,193,95,2023,2026,0.1675347222222222,0.75,0.1675347222222222,0.08246527777777778,20.043836805555557,1.0,0,Bureaux express nationaux standards
353,Sousse,Bureau,755,7565.5999999999985,4.571111258278145,10.020662251655628,4,12,16,198,10,541,2023,2026,0.02119205298013245,0.26225165562913905,0.013245033112582781,0.7165562913907285,10.020662251655628,1.0,2,Bureaux colis normaux
354,Gafsa,Bureau,326,4367.2,1.3855552147239234,13.396319018404908,3,12,48,190,48,88,2023,2025,0.147239263803681,0.5828220858895705,0.147239263803681,0.26993865030674846,13.396319018404908,1.0,0,Bureaux express nationaux standards
355,Tataouine,Bureau,1053,11336.999999999996,0.6511367521367519,10.766381766381762,4,12,55,867,54,131,2023,2026,0.052231718898385564,0.8233618233618234,0.05128205128205128,0.12440645773979107,10.766381766381762,1.0,0,Bureaux express nationaux standards
356,Monastir,Bureau,503,16411.800000000003,0.8828170974155077,32.62783300198808,4,12,182,279,181,42,2023,2026,0.36182902584493043,0.5546719681908548,0.35984095427435386,0.08349900596421471,32.62783300198808,1.0,1,Bureaux internationaux premium
357,Sfax,Bureau,902,25730.599999999984,1.8819767184035432,28.5261640798226,4,12,150,500,149,253,2023,2026,0.1662971175166297,0.5543237250554324,0.16518847006651885,0.2804878048780488,28.5261640798226,1.0,0,Bureaux express nationaux standards
358,Sousse,Bureau,1185,15187.349999999999,0.8004591561181433,12.81632911392405,4,12,121,906,121,158,2023,2026,0.1021097046413502,0.7645569620253164,0.1021097046413502,0.13333333333333333,12.81632911392405,1.0,0,Bureaux express nationaux standards
359,Tataouine,Bureau,1413,38361.60000000003,1.5220949752300044,27.14904458598728,4,12,260,482,260,671,2023,2026,0.18400566171266808,0.34111818825194623,0.18400566171266808,0.4748761500353857,27.14904458598728,1.0,1,Bureaux internationaux premium
360,Tunis,Bureau,84,2590.1,3.3522619047619044,30.83452380952381,4,12,0,0,0,84,2023,2026,0.0,0.0,0.0,1.0,30.83452380952381,1.0,2,Bureaux colis normaux
361,Kairouan,Bureau,186,1337.3,1.9733763440860195,7.189784946236559,4,12,2,132,1,52,2023,2026,0.010752688172043012,0.7096774193548387,0.005376344086021506,0.27956989247311825,7.189784946236559,1.0,0,Bureaux express nationaux standards
362,Kébili,Bureau,1042,6041.000000000003,0.8564499040307091,5.797504798464494,4,12,3,35,0,1004,2023,2026,0.0028790786948176585,0.03358925143953935,0.0,0.963531669865643,5.797504798464494,1.0,2,Bureaux colis normaux
363,Kébili,Bureau,421,12972.000000000002,2.4071377672209002,30.812351543943,4,12,95,262,95,64,2023,2026,0.22565320665083136,0.6223277909738717,0.22565320665083136,0.15201900237529692,30.812351543943,1.0,1,Bureaux internationaux premium
364,Médenine,Bureau,1662,10692.700000000004,0.7155988567990369,6.43363417569194,4,12,0,0,0,1662,2023,2026,0.0,0.0,0.0,1.0,6.43363417569194,1.0,2,Bureaux colis normaux
365,Sousse,Bureau,920,29163.39999999999,2.147805434782609,31.699347826086946,4,12,163,261,156,496,2023,2026,0.17717391304347826,0.28369565217391307,0.16956521739130434,0.5391304347826087,31.699347826086946,1.0,1,Bureaux internationaux premium
