IdBordereau;IdBureau;Annee;Date;Heure;RefPaiement;NumEnvoi;IdPays;Poids;Montant;cp;cite;codepays;ville;cpDest;citeDest;paysDest;villeDest
"00000042";"4230";"2023";"02/10/2023";"0913";"C";"CP320789682TN";"TN";"7.4";"5.8";"4230";"SOUK EL AHAD";"TN";"KEBILI";"5070";"ksar hlele";"TN";"monastir"
"00000038";"8040";"2023";"02/10/2023";"0911";"C";"CP315643340TN";"IT";"11.3";"97.0";"8040";"bouargoub";"TN";"NABEUL";"91018";"salemi";"IT";"salemi"
"00005683";"4160";"2023";"02/10/2023";"0918";"C";"CP323133710TN";"TN";"4.42";"4.9";"4160";"bg";"TN";"bg";"2066";"IN SINA";"TN";"TUNIS"
"00005928";"4160";"2023";"09/10/2023";"0941";"C";"CP323131299TN";"TN";"5.92";"5.2";"4160";"bg";"TN";"bg";"2066";"IN SINA";"TN";"TUNIS"
"00000221";"3180";"2023";"12/12/2023";"1128";"C";"CP319302496TN";"IT";"5.85";"61.0";"3180";"BOU HAJLA";"TN";"KAIROUAN";"84129";"COCCHIA";"IT";"PASTENA SA"
"00000222";"3180";"2023";"12/12/2023";"1139";"C";"CP319302482TN";"IT";"10.63";"91.0";"3180";"BOU HAJLA";"TN";"KAIROUAN";"84129";"COCCHIA";"IT";"PASTENA SA"
"00009048";"2094";"2023";"02/10/2023";"0919";"C";"CP311241685TN";"GB";"14.22";"221.0";"2052";"tounis";"TN";"tounis";"bt345fp";"country down";"GB";"united kingdom"
"00000264";"5050";"2023";"02/10/2023";"0928";"C";"CP320588473TN";"TN";"4.88";"4.9";"5050";"MOKNINE";"TN";"MONASTIR";"8160";"poste";"TN";"nefza"
"00000203";"4116";"2023";"02/10/2023";"0925";"C";"CP322184366TN";"DE";"3.0";"62.0";"4176";"hdada";"TN";"hdada";"30559";"hannover";"DE";"deutschland"
"00000369";"4280";"2023";"02/10/2023";"0927";"P";"RR419644944TN";"TN";"0.281";"6.9";"4200";"KEBILI";"TN";"KEBILI";"1002";"TUNIS";"TN";"TUNIS"
"00000182";"2240";"2023";"02/10/2023";"0931";"C";"CP312725875TN";"TN";"11.62";"7.0";"2240";"NEFTA";"TN";"NEFTA";"8100";"JANDOUBA";"TN";"JANDOUBA"
"00000183";"2240";"2023";"02/10/2023";"0933";"C";"CP312725861TN";"TN";"17.31";"8.8";"2240";"NEFTA";"TN";"NEFTA";"8100";"JANDOUBA";"TN";"JANDOUBA"
"00000111";"4127";"2023";"02/10/2023";"0934";"C";"CP323127833TN";"TN";"4.3";"4.9";"4127";"MEDENINE PERSEVERANCE";"TN";"MEDENINE";"4012";"sousse";"TN";"sousse"
"00000146";"4070";"2023";"02/10/2023";"0929";"C";"CP317022842TN";"MA";"2.665";"40.0";"4070";"MSAKEN";"TN";"SOUSSE";"";"kounaytira";"MA";"maroc"
"00000032";"7114";"2023";"02/10/2023";"0940";"C";"CP020626451TN";"TN";"3.263";"4.6";"7114";"JERISSA";"TN";"KEF";"3293";"TATAOUINE SUD";"TN";"TATAOUINE"
"00000053";"7032";"2023";"02/10/2023";"0942";"C";"CP310757345TN";"FR";"3.6";"56.0";"7032";"TINJA";"TN";"TINJA";"92500";"RUEIL";"FR";"MALAISON"
"00000095";"2052";"2023";"02/10/2023";"0950";"C";"CP304024898TN";"TN";"2.737";"4.3";"2052";"EZOUHOUR";"TN";"TUNIS";"1140";"ZAGHOUAN";"TN";"ZAGHOUAN"
"00000269";"5020";"2023";"02/10/2023";"0949";"P";"UP001047260TN";"CA";"1.9";"26.0";"5020";"JL";"TN";"MONASTIR";"723";"CANADA";"CA";"CANADA"
"00000504";"4192";"2023";"02/10/2023";"0952";"C";"CP323127175TN";"TN";"6.86";"5.5";"41912";"JALLEL";"TN";"JALLEL";"2210";"GAFSA";"TN";"GAFSA"
"00000319";"2130";"2023";"02/10/2023";"0954";"C";"CP320762849TN";"TN";"3.63";"4.6";"2113";"tn";"TN";"METLAOUI";"8045";"tun";"TN";"tun"
"00000036";"4165";"2023";"02/10/2023";"0950";"C";"CP323126775TN";"FR";"11.12";"104.0";"4165";"MAHBOUBINE";"TN";"DJERBA";"70500";"CEMBOING";"FR";"FRANCE"
"00000132";"2045";"2023";"02/10/2023";"0949";"C";"CP311036145TN";"CA";"3.0";"93.0";"2045";"laouina";"TN";"TUNIS";"00000";"antario";"CA";"canada"
"00000037";"4165";"2023";"02/10/2023";"0959";"C";"CP323126784TN";"FR";"9.93";"92.0";"4165";"MAHBOUBINE";"TN";"DJERBA";"70500";"CEMBOING";"FR";"FRANCE"
"00000505";"4192";"2023";"02/10/2023";"0955";"C";"CP323127215TN";"TN";"3.26";"4.6";"4192";"JALLEL";"TN";"JALLEL";"1059";"TUNIS";"TN";"TUNIS"
"00000038";"4165";"2023";"02/10/2023";"1005";"C";"CP323126798TN";"FR";"15.03";"128.0";"4165";"MAHBOUBINE";"TN";"DJERBA";"70500";"CEMBOING";"FR";"FRANCE"
"00000043";"4175";"2023";"02/10/2023";"1007";"C";"CP310132004TN";"TN";"17.3";"8.8";"4175";"EL MAY";"TN";"MEDENINE";"5100";"ELMAHDIA";"TN";"MAHDIA"
"00000063";"9114";"2023";"02/10/2023";"1009";"C";"CP319368682TN";"TN";"2.4";"4.3";"9114";"MENZEL BOUZAIENE";"TN";"SIDI BOUZID";"4116";"midoune";"TN";"midoune"
"00000506";"4192";"2023";"02/10/2023";"1008";"C";"CP323127158TN";"TN";"3.82";"4.6";"4192";"JAMLLE";"TN";"JALLEL";"6100";"SILIANA";"TN";"SELIANA"
"00000265";"5050";"2023";"02/10/2023";"1006";"C";"CP320588487TN";"CA";"7.25";"203.0";"5050";"MOKNINE";"TN";"MONASTIR";"G1E3R6";"CELLULAIRE QUEBEC";"CA";"CANADA"
"00000296";"5050";"2023";"06/11/2023";"1104";"C";"CP320596302TN";"CA";"8.9";"225.0";"5050";"MOKNINE";"TN";"MONASTIR";"G1E3R6";"CELLULAIRE CANADA";"CA";"CANADA"
"00000039";"4165";"2023";"02/10/2023";"1011";"C";"CP323126807TN";"FR";"15.29";"128.0";"4165";"MAHBOUBINE";"TN";"DJERBA";"70500";"CEMBOING";"FR";"FRANCE"
"00000507";"4192";"2023";"02/10/2023";"1012";"C";"CP323127135TN";"TN";"3.3";"4.6";"4192";"JALLE";"TN";"JALLEL";"6100";"SEL";"TN";"SELIANA"
"00000112";"4127";"2023";"02/10/2023";"1017";"C";"CP323127847TN";"TN";"2.989";"4.3";"4127";"MEDENINE PERSEVERANCE";"TN";"MEDENINE";"6000";"gabes";"TN";"gabes"
"00000040";"4165";"2023";"02/10/2023";"1016";"C";"CP323126815TN";"FR";"12.85";"110.0";"4165";"MAHBOUBINE";"TN";"DJERBA";"70500";"CEMBOING";"FR";"FRANCE"
"00000027";"3170";"2023";"02/10/2023";"1015";"C";"CP309952727TN";"TN";"7.6";"5.8";"3170";"POSTE";"TN";"KAIROUAN";"2112";"zarouk";"TN";"gafsa"
"00000508";"4192";"2023";"02/10/2023";"1015";"C";"CP323127127TN";"TN";"3.18";"4.6";"4192";"JALLEL";"TN";"JALLEL";"6100";"SELIANNA";"TN";"SELIANA"
"00000041";"4165";"2023";"02/10/2023";"1020";"C";"CP323126824TN";"FR";"13.52";"116.0";"4165";"MAHBOUBINE";"TN";"DJERBA";"70500";"CEMBOING";"FR";"FRANCE"
"00000207";"5011";"2023";"02/10/2023";"1029";"C";"CP322574375TN";"TN";"4.82";"4.9";"5011";"KHNIS";"TN";"MONASTIR";"8042";"BIR  BOUEGBA";"TN";"BIR  BOUREGHBA"
"00000222";"5011";"2023";"27/10/2023";"1609";"C";"CP322574052TN";"TN";"2.7";"4.3";"5011";"KHNIS";"TN";"MONASTIR";"7050";"MENZEL  BOUGHIBA";"TN";"MENZEL  BOURHIBA"
"00000509";"4192";"2023";"02/10/2023";"1021";"C";"CP323127144TN";"TN";"3.57";"4.6";"4192";"JALLEL";"TN";"JALLEL";"6100";"SELIANA";"TN";"SELIANA"
"00000184";"2240";"2023";"02/10/2023";"1040";"C";"CP312725858TN";"TN";"4.14";"4.9";"2240";"NEFTA";"TN";"NEFTA";"3253";"TATAOUINE";"TN";"TATAOUINE"
"00000021";"9010";"2023";"02/10/2023";"1044";"C";"CP300752096TN";"TN";"2.34";"4.3";"9010";"beja";"TN";"BEJA";"3121";"chbika";"TN";"kairaouan "
"00000195";"2212";"2023";"02/10/2023";"1043";"C";"CP321212128TN";"TN";"4.67";"4.9";"2212";"TAMEGHZA";"TN";"TOZEUR";"1100";"ZAGHOUAN";"TN";"ZAGHOUAN"
"00000040";"8154";"2023";"02/10/2023";"1038";"C";"CP316567724TN";"TN";"6.37";"5.5";"8154";"GHARDIMOU";"TN";"GHARDIMOU";"3051";"SAFAX";"TN";"SAFAX"
"00009085";"1145";"2023";"02/10/2023";"1044";"C";"CP321435686TN";"QA";"10.1";"138.0";"1145";"CITE ESSAADA 1";"TN";"BEN AROUS";"11111";"LAAZIZIA";"QA";"QATAR"
"00000214";"2034";"2023";"02/10/2023";"1047";"C";"CP322494080TN";"FR";"21.0";"158.0";"2097";"BOU MHEL";"TN";"BEN AROUS";"78780";"";"FR";"france"
"00000151";"2083";"2023";"02/10/2023";"1049";"P";"UP001168206TN";"CA";"1.56";"26.0";"2083";"CITE EL GHAZALA 1";"TN";"ARIANA";"6400";"CANADA";"CA";"CANADA"
"00000160";"2083";"2023";"16/10/2023";"1114";"P";"UP001168254TN";"FR";"1.149";"26.0";"2083";"CITE EL GHAZALA 1";"TN";"ARIANA";"59320";"FRANE";"FR";"FRANCE"
"00009111";"2068";"2023";"02/10/2023";"1034";"C";"CP321431344TN";"CA";"23.0";"533.0";"2068";"EL MOUROUJ 3";"TN";"BEN AROUS";"3696";"jonquiere";"CA";"qubec G7*249"
"00000510";"4192";"2023";"02/10/2023";"1037";"C";"CP323127113TN";"TN";"2.6";"4.3";"4192";"JALLEL";"TN";"JALLEL";"8060";"NABEUL";"TN";"NABEUL"
"00000051";"1057";"2023";"02/10/2023";"1048";"C";"CP311949151TN";"FR";"29.3";"212.0";"2078";"citee des juges";"TN";"TUNIS";"33170";"BORDEAUX FRANCE";"FR";"FRANCE"
"00009112";"2068";"2023";"02/10/2023";"1052";"P";"UP001068976TN";"FR";"1.282";"26.0";"2068";"manara";"TN";"BEN AROUS";"91100";"CORBEIL";"FR";"ESSONNES"
"00000191";"2083";"2023";"13/11/2023";"0928";"P";"UP001168872TN";"KR";"1.93";"26.0";"01811";"coree de sud";"KR";"coree de sud";"01811";"SUGLIM INTERNATIONAL DORMITORY ROOM NUM 1205";"KR";"COREE DU SUD"
"00005710";"4160";"2023";"02/10/2023";"1114";"C";"CP323133768TN";"TN";"8.88";"6.1";"4160";"bg";"TN";"bg";"5137";"el jem";"TN";"el jem"
"00009025";"3089";"2023";"02/10/2023";"1111";"C";"CP323024961TN";"FR";"5.12";"68.0";"3089";"SFAX";"TN";"SFAX";"93170";"FRANCE";"FR";"FRANCE"
"00009030";"5130";"2023";"02/10/2023";"1117";"C";"CP315926828TN";"FR";"17.0";"134.0";"5130";"CHORBANE";"TN";"MAHDIA";"0140";"FRANCE";"FR";"FRANCE"
"00009031";"5130";"2023";"02/10/2023";"1124";"C";"CP315926814TN";"FR";"8.2";"86.0";"5130";"CHORBANE";"TN";"MAHDIA";"0140";"FRANCE";"FR";"FRANCE"
"00000165";"2100";"2023";"02/10/2023";"1114";"C";"CP322738428TN";"FR";"14.48";"122.0";"2123";"cite ennoure";"TN";"gafsa";"06370";"les rouarin 56chemin despllntins";"FR";"france"
"00000511";"4192";"2023";"02/10/2023";"1053";"C";"CP323127189TN";"TN";"6.17";"5.5";"4192";"JALLEL";"TN";"JALLE";"1001";"NACEUR";"TN";"TUNIS"
"00009032";"3240";"2023";"02/10/2023";"1125";"C";"CP314368102TN";"TN";"2.243";"4.3";"3240";"REMADA";"TN";"TATAOUINE";"5033";"MONASTIR";"TN";"MONASTIR"
"00000179";"3180";"2023";"02/10/2023";"1128";"C";"CP319302522TN";"IT";"8.6";"79.0";"3180";"BOU HAJLA";"TN";"KAIROUAN";"079908";"PAVIA";"IT";"ITALY"
"00000028";"3170";"2023";"02/10/2023";"1119";"C";"CP309952713TN";"TN";"2.372";"4.3";"3170";"NASRALLAH";"TN";"KAIROUAN";"3140";"sidi ahmed";"TN";"kairouan"
"00000512";"4192";"2023";"02/10/2023";"1132";"C";"CP323127201TN";"TN";"2.62";"4.3";"4192";"JALLEL";"TN";"JALLEL";"8060";"NABEUR";"TN";"NABEUL"
"00000234";"5070";"2023";"02/10/2023";"1136";"C";"CP322558103TN";"TN";"2.3";"4.3";"5070";"CITE COMMERCIALE 1";"TN";"KH";"1003";"TUNIS";"TN";"TUNIS"
"00000234";"5070";"2023";"02/10/2023";"1136";"C";"CP322558094TN";"TN";"5.2";"5.2";"5070";"CITE COMMERCIALE 1";"TN";"KH";"8170";"B";"TN";"B"
"00000513";"4192";"2023";"02/10/2023";"1138";"C";"CP323127192TN";"TN";"2.84";"4.3";"4192";"JALLEL";"TN";"JALLEL";"8060";"NABEUKL";"TN";"NABEUL"
"00000180";"3180";"2023";"02/10/2023";"1139";"C";"CP319302519TN";"IT";"7.62";"73.0";"3180";"BOU HAJLA";"TN";"KAIROUAN";"079908";"PAVIA";"IT";"ITALY"
"00000162";"7080";"2023";"02/10/2023";"1128";"C";"CP314810558TN";"TN";"2.2";"4.3";"708";"MJLL";"TN";"MENZELJEMIL";"2025";"ARIANA";"TN";"TS"
"00000162";"7080";"2023";"02/10/2023";"1128";"C";"CP421368953TN";"TN";"2.2";"4.3";"708";"MJLL";"TN";"MENZELJEMIL";"2010";"ARIANA";"TN";"TS"
"00000162";"7080";"2023";"02/10/2023";"1128";"C";"CP314810531TN";"TN";"2.1";"4.3";"708";"MJLL";"TN";"MENZELJEMIL";"2097";"BASSATINE";"TN";"TS"
"00000162";"7080";"2023";"02/10/2023";"1128";"C";"CP314810576TN";"TN";"2.01";"4.3";"708";"MJLL";"TN";"MENZELJEMIL";"2080";"ARIANA";"TN";"TS"
"00000163";"7080";"2023";"02/10/2023";"1128";"C";"CP314810531TN";"TN";"2.1";"4.3";"708";"MJLL";"TN";"MENZELJEMIL";"2097";"BASSATINE";"TN";"TS"
"00000163";"7080";"2023";"02/10/2023";"1128";"C";"CP314810545TN";"TN";"2.1";"4.3";"708";"MJLL";"TN";"MENZELJEMIL";"5035";"MONASTIR";"TN";"TS"
"00000163";"7080";"2023";"02/10/2023";"1128";"C";"CP314810576TN";"TN";"2.01";"4.3";"708";"MJLL";"TN";"MENZELJEMIL";"2080";"ARIANA";"TN";"TS"
"00000163";"7080";"2023";"02/10/2023";"1128";"C";"CP314810558TN";"TN";"2.2";"4.3";"708";"MJLL";"TN";"MENZELJEMIL";"2025";"ARIANA";"TN";"TS"
"00000372";"2130";"2023";"30/10/2023";"1556";"C";"CP308214711TN";"IT";"4.5";"55.0";"2130";"CITE DU LABORATOIRE";"TN";"GAFSA";"910111111";"italia";"IT";"itlai"
"00000302";"2013";"2023";"02/10/2023";"1201";"C";"CP321407036TN";"CA";"10.27";"269.0";"2013";"BEN AROUS";"TN";"BEN AROUS";"H4J2M4";"MONTREAL";"CA";"CANADA"
"00000054";"7032";"2023";"02/10/2023";"1242";"C";"CP310757331TN";"AE";"5.57";"87.0";"7032";"TINJA";"TN";"TINJA";"54448";"EZZAHIA";"AE";"ABOU DHABI"
"00000055";"7032";"2023";"02/10/2023";"1250";"C";"CP310757328TN";"DE";"5.6";"83.0";"7032";"TINJA";"TN";"TINJA";"50677";"KOLN";"DE";"ALLEMAGNE"
"00009249";"KEBA";"2023";"27/12/2023";"1055";"C";"CP305751818TN";"TN";"16.2";"8.5";"8090";"KELIBIA";"TN";"KELIBIA";"8090";"nabeul";"TN";"nabeul"
"00009010";"4136";"2023";"02/10/2023";"1420";"C";"CP201895439TN";"TN";"4.8";"4.9";"4136";"JERBA";"TN";"MEDENINE";"3080";"SFAX";"TN";"SFAX"
"00000095";"5035";"2023";"02/10/2023";"1438";"C";"CP322562920TN";"TN";"7.84";"5.8";"5035";"SAYADA";"TN";"MONASTIR";"TUNIS";"X";"TN";"X"
"00009006";"1141";"2023";"02/10/2023";"1444";"C";"CP021128617TN";"CA";"7.7";"203.0";"1141";"CITE LA MOSQUEE";"TN";"ZAGHOUAN";"";"BROOKS AB T1R 0W7";"CA";"CANADA"
"00000476";"2001";"2023";"02/10/2023";"1449";"P";"UP001167625TN";"CA";"0.551";"22.0";"2094";"JARDIN D'EL MENZAH 2";"TN";"ARIANA";"H1S 0A5";"MONTREAL";"CA";"MONTREAL"
"00000554";"2001";"2023";"01/11/2023";"0951";"P";"UP001890524TN";"CA";"1.021";"26.0";"2094";"JARDIN D'EL MENZAH 2";"TN";"ARIANA";"QCH1S0A5";"MONTREAL";"CA";"MONTREAL"
"00000586";"2001";"2023";"14/11/2023";"0932";"P";"UP001890705TN";"CA";"1.04";"26.0";"2094";"JARDIN D'EL MENZAH 2";"TN";"ARIANA";"QCH1S0A5";"MONTREAL";"CA";"MONTREAL"
"00000029";"3150";"2023";"02/10/2023";"1450";"C";"CP309972987TN";"TN";"7.8";"5.8";"3150";"el ala";"TN";"kairouan";"9110";"sidi bouzid";"TN";"sidi bouzid"
"00000041";"9080";"2023";"02/10/2023";"1458";"C";"CP307367424TN";"TN";"2.8";"4.3";"9080";"GOUBELLAT";"TN";"BEJA";"3060";"sfax";"TN";"sfax"
"00009163";"4214";"2023";"02/10/2023";"1501";"C";"CP321630040TN";"TN";"3.48";"4.6";"4214";"JEMNA";"TN";"KEBILI";"8090";"";"TN";"NABEUL"
"00009164";"4214";"2023";"02/10/2023";"1504";"C";"CP321630053TN";"TN";"2.9";"4.3";"4214";"JEMNA";"TN";"KEBILI";"1073";"MONTPLAISIR";"TN";"TUNIS"
"00000208";"5011";"2023";"02/10/2023";"1505";"C";"CP322574389TN";"TN";"2.47";"4.3";"5011";"KH NIS";"TN";"MONASTIR";"6080";"MARETH";"TN";"MARE3TH"
"00009165";"4214";"2023";"02/10/2023";"1506";"C";"CP321630067TN";"TN";"4.44";"4.9";"4214";"JEMNA";"TN";"KEBILI";"4236";"SOUK EL AHAD";"TN";"KEBILI"
"00009017";"8045";"2023";"02/10/2023";"1507";"C";"CP312069131TN";"TN";"2.707";"4.3";"8045";"CITE EL INTILAKA";"TN";"EL HAOUARIA";"7032";"TINJA";"TN";"TINJA"
"00009018";"8045";"2023";"02/10/2023";"1514";"C";"CP312069128TN";"TN";"2.368";"4.3";"8045";"CITE EL INTILAKA";"TN";"EL HAOUARIA";"7032";"TINJA";"TN";"TINJA"
"00009166";"4214";"2023";"02/10/2023";"1507";"C";"CP321630075TN";"TN";"12.42";"7.3";"4214";"JEMNA";"TN";"KEBILI";"8020";"";"TN";"NABEUL"
